index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,raw_model_response
0,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
1,Satisfy You,Diddy,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
2,Tender Lover,Babyface,male,north america,spotify,female,Europe,"GENDER: female
CONTINENT: Europe"
3,Una Vaina Loca,Fuego,male,north america,spotify,male,South America,"GENDER: male
CONTINENT: South America"
4,La Mordidita,Ricky Martin,male,north america,spotify,male,Europe,"GENDER: male
CONTINENT: Europe"
5,Changes,2Pac,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
6,Suga Suga,Baby Bash,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
7,Secrets,The Weeknd,male,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
8,Me Enamoré,Jay Wheeler,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
9,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
10,La Vida Es Una (feat. Pitbull),Lil Jon,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
11,We Own It (Fast & Furious),2 Chainz,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
12,Ain't No Future In Yo' Frontin',MC Breed,male,north america,spotify,male,North America,"GENDER: male
CONTINENT: North America"
13,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,female,north america,spotify,female,North America,"GENDER: female
CONTINENT: North America"
