artist,song_title,gender,ethnicity,lyrics_source
Arijit Singh,Taake Jhanke,Male,Asia,genius
Daniel Padilla,Kahit Maputi Na Ang Buhok Ko,Male,Asia,genius
Tata Young,Boys Will Be Boys,Female,Asia,genius
Asami,Feel My Body,Female,Asia,genius
Hitomi,there is...,Female,Asia,genius
Iwan Fals,Yang Tersendiri,Male,Asia,genius
Gackt,Fragrance,Male,Asia,genius
Ebiet G. Ade,Cinta Sebening Embun,Male,Asia,genius
Crystal Kay,Cannonball,Female,Asia,genius
Amit Trivedi,Manja,Male,Asia,genius
DJ Honda,We Run Shit,Male,Asia,genius
Ebiet G. Ade,Dan Hari Ini Engkau,Male,Asia,genius
A. R. Rahman,Yeh Jo Des Hai Tera,Male,Asia,genius
Sharon Cuneta,Batang Musmos,Female,Asia,genius
Mika Singh,Long Drive - Bhangra Mix,Male,Asia,genius
Geeta Dutt,Mera Sundar Sapna Beet Gaya,Female,Asia,genius
Bonnie Pink,New York,Female,Asia,genius
A. R. Rahman,Evano Oruvan,Male,Asia,genius
Sowelu,Last Forever,Female,Asia,genius
Iwan Fals,Puing II,Male,Asia,genius
Aiza Seguerra,True Love,Female,Asia,genius
Ebiet G. Ade,Rembulan Menangis,Male,Asia,genius
Ajda Pekkan,Deliyiz Biz,Female,Asia,genius
Mohammed Rafi,Khoya Khoya Chand,Male,Asia,genius
Kotoko,Bumpy-Jumpy!,Female,Asia,genius
Sertab Erener,One More Cup Of Coffee,Female,Asia,genius
Gackt,Mind Forest,Male,Asia,genius
Cem Adrian,Herkes Gider Mi,Male,Asia,genius
Crystal Kay,Forever,Female,Asia,genius
Siti Nurhaliza,Demi Kasih Kita,Female,Asia,genius
Misha Omar,Jangan Berakhir,Female,Asia,genius
Ebiet G. Ade,Tak Pernah Pupus Rinduku,Male,Asia,genius
Ebiet G. Ade,Untuk Kita Renungkan,Male,Asia,genius
Ofra Haza,Deliver Us,Female,Asia,genius
Yasmin Levy,Gracias A La Vida,Female,Asia,genius
Ahmet Kaya,Haydi Git,Male,Asia,genius
Nina,Someday,Female,Asia,genius
DJ Honda,Gun Hold,Male,Asia,genius
Sharon Cuneta,The Same Sad Song,Female,Asia,genius
Regine Velasquez,Minsan Lang Kitang Iibigin,Female,Asia,genius
Liza Hanim,Nilai Cintamu,Female,Asia,genius
Nujabes,Eclipse,Male,Asia,genius
Nil Karaibrahimgil,Ne Garip Adam,Female,Asia,genius
Misha Omar,Tak Ku Percaya,Female,Asia,genius
Lia,Star Light Night,Female,Asia,genius
Crystal Kay,We Gonna Boogie,Female,Asia,genius
Teoman,Vur Sen Beni,Male,Asia,genius
Ahmet Kaya,Macera,Male,Asia,genius
Atif Aslam,Tere Bin,Male,Asia,genius
Hitomi,SEXY,Female,Asia,genius
The Idan Raichel Project,Min Nhar Li Mshiti,Male,Asia,genius
Iwan Fals,Hadapi Saja,Male,Asia,genius
Milky Bunny,No Shape Of Love,Female,Asia,genius
Ebiet G. Ade,Nyanyian Bumi Seberang (Bona Ni Pasogit),Male,Asia,genius
Kris Dayanti,Ku Tak Sanggup,Female,Asia,genius
Noa,Dala Dala,Female,Asia,genius
Hayko Cepkin,Siren,Male,Asia,genius
Ahmet Kaya,Amenna,Male,Asia,genius
Borgore,Ratchet,Male,Asia,genius
Regine Velasquez,Bluer Than Blue,Female,Asia,genius
Sertab Erener,Aaa,Female,Asia,genius
Mike Brant,Que Tu Es Belle,Male,Asia,genius
Ahmet Kaya,Birazdan Kudurur Deniz,Male,Asia,genius
Regine Velasquez,Hold On To Your Dreams,Female,Asia,genius
Kishore Kumar,Chingari Koi Bhadke,Male,Asia,genius
Sezen Aksu,Takvim,Female,Asia,genius
Kotoko,A Piacere,Female,Asia,genius
Ebiet G. Ade,Lagu Untuk Sebuah Nama,Male,Asia,genius
Arijit Singh,Love Me Thoda Aur,Male,Asia,genius
Regine Velasquez,I Can,Female,Asia,genius
Ajda Pekkan,Uykusuz Her Gece,Female,Asia,genius
Sowelu,I Will,Female,Asia,genius
Hande Yener,Sanma,Female,Asia,genius
Iwan Fals,Puing,Male,Asia,genius
Fantastic Plastic Machine,God Save The Mona Lisa,Male,Asia,genius
Ahmet Kaya,Neden,Male,Asia,genius
Cornelius,Star Fruits Surf Rider,Male,Asia,genius
Crystal Kay,Goodbye,Female,Asia,genius
Volkan Konak,Ela Ela Leose,Male,Asia,genius
DJ Krush,Meiso,Male,Asia,genius
Crystal Kay,Girl Move On,Female,Asia,genius
Lea Salonga,That Situation,Female,Asia,genius
Siti Nurhaliza,Wajah Kekasih,Female,Asia,genius
Nil Karaibrahimgil,Heman,Female,Asia,genius
Yo Yo Honey Singh,Brown Rang,Male,Asia,genius
Lea Salonga,How Can I?,Female,Asia,genius
Yuria,You,Female,Asia,genius
DJ Honda,Intro,Male,Asia,genius
Iwan Fals,Celoteh Camar Tolol Dan Cemar,Male,Asia,genius
Keren Ann,Caspia,Female,Asia,genius
Shreya Ghoshal,Saans,Female,Asia,genius
Amit Trivedi,Badra Bahaar,Male,Asia,genius
Paolo Santos,Take Me,Male,Asia,genius
Mustafa Sandal,Helal Et,Male,Asia,genius
Ajda Pekkan,Kaderimin Oyunu,Female,Asia,genius
Lea Salonga,We Could Be In Love,Female,Asia,genius
Crystal Kay,Shining,Female,Asia,genius
Sezen Aksu,Pardon,Female,Asia,genius
Sibel Can,Galata,Female,Asia,genius
Regine Velasquez,Hinahanap-Hanap Kita,Female,Asia,genius
Yonca Evcimik,Kendine Gel,Female,Asia,genius
Olivia,Solarhalfbreed,Female,Asia,genius
Charice,Before It Explodes,Female,Asia,genius
Nokko,Silver,Female,Asia,genius
Bonnie Pink,Mint,Female,Asia,genius
The Idan Raichel Project,Im Tachpetza,Male,Asia,genius
Yuna,Favourite Thing,Female,Asia,genius
Arijit Singh,Humdard,Male,Asia,genius
Ziana Zain,Madah Berhelah,Female,Asia,genius
Keiichi Okabe,Song Of The Ancients / Devola,Male,Asia,genius
