artist,song_title,gender,ethnicity,lyrics_source,lyric_length,english_word_ratio,needs_translation
Arijit Singh,Taake Jhanke,Male,Asia,genius,197,0.102803738317757,1
Daniel Padilla,Kahit Maputi Na Ang Buhok Ko,Male,Asia,genius,145,0.6815286624203821,1
Tata Young,Boys Will Be Boys,Female,Asia,genius,281,0.9764309764309764,0
Asami,Feel My Body,Female,Asia,genius,178,0.8633879781420765,0
Hitomi,there is...,Female,Asia,genius,187,0.5368421052631579,1
Iwan Fals,Yang Tersendiri,Male,Asia,genius,96,0.4583333333333333,1
Gackt,Fragrance,Male,Asia,genius,122,0.6311475409836066,1
Ebiet G. Ade,Cinta Sebening Embun,Male,Asia,genius,162,0.4827586206896552,1
Crystal Kay,Cannonball,Female,Asia,genius,87,0.6222222222222222,1
Amit Trivedi,Manja,Male,Asia,genius,206,0.0701754385964912,1
DJ Honda,We Run Shit,Male,Asia,genius,564,0.9564459930313588,0
Ebiet G. Ade,Dan Hari Ini Engkau,Male,Asia,genius,120,0.3629032258064516,1
A. R. Rahman,Yeh Jo Des Hai Tera,Male,Asia,genius,241,0.081967213114754,1
Sharon Cuneta,Batang Musmos,Female,Asia,genius,142,0.6164383561643836,1
Mika Singh,Long Drive - Bhangra Mix,Male,Asia,genius,273,1.0,0
Geeta Dutt,Mera Sundar Sapna Beet Gaya,Female,Asia,genius,151,0.0662251655629139,1
Bonnie Pink,New York,Female,Asia,genius,85,0.6941176470588235,1
A. R. Rahman,Evano Oruvan,Male,Asia,genius,149,0.0335570469798657,1
Sowelu,Last Forever,Female,Asia,genius,203,0.5024630541871922,1
Iwan Fals,Puing II,Male,Asia,genius,172,0.4971098265895953,1
Aiza Seguerra,True Love,Female,Asia,genius,112,1.0,0
Ebiet G. Ade,Rembulan Menangis,Male,Asia,genius,115,0.3333333333333333,1
Ajda Pekkan,Deliyiz Biz,Female,Asia,genius,58,0.5272727272727272,1
Mohammed Rafi,Khoya Khoya Chand,Male,Asia,genius,233,0.096,1
Kotoko,Bumpy-Jumpy!,Female,Asia,genius,84,0.5688073394495413,1
Sertab Erener,One More Cup Of Coffee,Female,Asia,genius,217,0.9864864864864864,0
Gackt,Mind Forest,Male,Asia,genius,27,0.2666666666666666,1
Cem Adrian,Herkes Gider Mi,Male,Asia,genius,260,0.6614785992217899,1
Crystal Kay,Forever,Female,Asia,genius,288,0.929054054054054,0
Siti Nurhaliza,Demi Kasih Kita,Female,Asia,genius,55,0.4909090909090909,1
Misha Omar,Jangan Berakhir,Female,Asia,genius,92,0.4021739130434782,1
Ebiet G. Ade,Tak Pernah Pupus Rinduku,Male,Asia,genius,133,0.3049645390070922,1
Ebiet G. Ade,Untuk Kita Renungkan,Male,Asia,genius,152,0.5133689839572193,1
Ofra Haza,Deliver Us,Female,Asia,genius,316,0.966153846153846,0
Yasmin Levy,Gracias A La Vida,Female,Asia,genius,257,0.6342412451361867,1
Ahmet Kaya,Haydi Git,Male,Asia,genius,203,0.4975369458128079,1
Nina,Someday,Female,Asia,genius,219,0.9285714285714286,0
DJ Honda,Gun Hold,Male,Asia,genius,310,0.99079754601227,0
Sharon Cuneta,The Same Sad Song,Female,Asia,genius,331,0.9939577039274924,0
Regine Velasquez,Minsan Lang Kitang Iibigin,Female,Asia,genius,145,0.5555555555555556,1
Liza Hanim,Nilai Cintamu,Female,Asia,genius,161,0.4876543209876543,1
Nujabes,Eclipse,Male,Asia,genius,702,0.96684350132626,0
Nil Karaibrahimgil,Ne Garip Adam,Female,Asia,genius,191,0.5235602094240838,1
Misha Omar,Tak Ku Percaya,Female,Asia,genius,57,0.4067796610169492,1
Lia,Star Light Night,Female,Asia,genius,75,0.3048780487804878,1
Crystal Kay,We Gonna Boogie,Female,Asia,genius,314,0.7886904761904762,1
Teoman,Vur Sen Beni,Male,Asia,genius,170,0.5207100591715976,1
Ahmet Kaya,Macera,Male,Asia,genius,58,0.532258064516129,1
Atif Aslam,Tere Bin,Male,Asia,genius,215,0.5700934579439252,1
Hitomi,SEXY,Female,Asia,genius,146,0.5833333333333334,1
The Idan Raichel Project,Min Nhar Li Mshiti,Male,Asia,genius,162,0.0559006211180124,1
Iwan Fals,Hadapi Saja,Male,Asia,genius,154,0.4379084967320261,1
Milky Bunny,No Shape Of Love,Female,Asia,genius,55,0.1166666666666666,1
Ebiet G. Ade,Nyanyian Bumi Seberang (Bona Ni Pasogit),Male,Asia,genius,157,0.4140127388535032,1
Kris Dayanti,Ku Tak Sanggup,Female,Asia,genius,67,0.59375,1
Noa,Dala Dala,Female,Asia,genius,112,0.6721311475409836,1
Hayko Cepkin,Siren,Male,Asia,genius,90,0.4222222222222222,1
Ahmet Kaya,Amenna,Male,Asia,genius,84,0.4761904761904761,1
Borgore,Ratchet,Male,Asia,genius,276,0.9863481228668942,0
Regine Velasquez,Bluer Than Blue,Female,Asia,genius,159,0.9877300613496932,0
Sertab Erener,Aaa,Female,Asia,genius,76,0.4736842105263157,1
Mike Brant,Que Tu Es Belle,Male,Asia,genius,163,0.7150837988826816,1
Ahmet Kaya,Birazdan Kudurur Deniz,Male,Asia,genius,186,0.3684210526315789,1
Regine Velasquez,Hold On To Your Dreams,Female,Asia,genius,281,0.9798657718120806,0
Kishore Kumar,Chingari Koi Bhadke,Male,Asia,genius,203,0.0966183574879227,1
Sezen Aksu,Takvim,Female,Asia,genius,173,0.4628571428571428,1
Kotoko,A Piacere,Female,Asia,genius,38,0.0975609756097561,1
Ebiet G. Ade,Lagu Untuk Sebuah Nama,Male,Asia,genius,103,0.3980582524271844,1
Arijit Singh,Love Me Thoda Aur,Male,Asia,genius,333,0.564327485380117,1
Regine Velasquez,I Can,Female,Asia,genius,238,0.991701244813278,0
Ajda Pekkan,Uykusuz Her Gece,Female,Asia,genius,156,0.4807692307692308,1
Sowelu,I Will,Female,Asia,genius,85,0.0816326530612244,1
Hande Yener,Sanma,Female,Asia,genius,162,0.4814814814814814,1
Iwan Fals,Puing,Male,Asia,genius,154,0.3374233128834356,1
Fantastic Plastic Machine,God Save The Mona Lisa,Male,Asia,genius,258,0.9808429118773946,0
Ahmet Kaya,Neden,Male,Asia,genius,165,0.2606060606060606,1
Cornelius,Star Fruits Surf Rider,Male,Asia,genius,84,1.0,0
Crystal Kay,Goodbye,Female,Asia,genius,87,0.5444444444444444,1
Volkan Konak,Ela Ela Leose,Male,Asia,genius,94,0.2978723404255319,1
DJ Krush,Meiso,Male,Asia,genius,488,0.9688109161793372,0
Crystal Kay,Girl Move On,Female,Asia,genius,138,0.5422535211267606,1
Lea Salonga,That Situation,Female,Asia,genius,340,0.992,0
Siti Nurhaliza,Wajah Kekasih,Female,Asia,genius,106,0.3796296296296296,1
Nil Karaibrahimgil,Heman,Female,Asia,genius,229,0.5785123966942148,1
Yo Yo Honey Singh,Brown Rang,Male,Asia,genius,401,0.3044496487119438,1
Lea Salonga,How Can I?,Female,Asia,genius,218,1.0,0
Yuria,You,Female,Asia,genius,45,0.0888888888888888,1
DJ Honda,Intro,Male,Asia,genius,56,0.9696969696969696,0
Iwan Fals,Celoteh Camar Tolol Dan Cemar,Male,Asia,genius,182,0.4510869565217391,1
Keren Ann,Caspia,Female,Asia,genius,53,0.4807692307692308,1
Shreya Ghoshal,Saans,Female,Asia,genius,234,0.1802575107296137,1
Amit Trivedi,Badra Bahaar,Male,Asia,genius,125,0.04,1
