song_title,artist,continent,gender,source,original_index,musical_genre,needs_translation,lyrics_length
Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,north america,male,spotify,0,r&b,0,348
Satisfy You,Diddy,north america,male,spotify,2,r&b,0,658
Tender Lover,Babyface,north america,male,spotify,3,r&b,0,225
Una Vaina Loca,Fuego,north america,male,spotify,5,latin,1,347
La Mordidita,Ricky Martin,north america,male,spotify,6,latin,1,714
Changes,2Pac,north america,male,spotify,7,rap,0,749
Suga Suga,Baby Bash,north america,male,spotify,9,r&b,0,554
Secrets,The Weeknd,north america,male,spotify,11,r&b,0,311
Me Enamoré,Jay Wheeler,north america,male,spotify,12,latin,1,371
"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,north america,female,spotify,13,pop,0,497
La Vida Es Una (feat. Pitbull),Lil Jon,north america,male,spotify,14,latin,1,217
We Own It (Fast & Furious),2 Chainz,north america,male,spotify,15,rap,0,1653
Ain't No Future In Yo' Frontin',MC Breed,north america,male,spotify,16,rap,0,719
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,north america,female,spotify,20,edm,0,418
Phenomenal,Eminem,north america,male,spotify,23,rap,0,890
Try,P!nk,north america,female,spotify,25,latin,0,303
Not To Much - Remastered 2016,Don Omar,north america,male,spotify,26,latin,1,433
Love Sosa,Chief Keef,north america,male,spotify,27,rap,0,634
Mama Knew Love,Anthony Hamilton,north america,male,spotify,28,r&b,0,238
Generé,Bipo Montana,north america,male,spotify,29,rap,1,686
Did It Again,Lil Tecca,north america,male,spotify,30,rap,0,330
I'll Be All You'll Ever Need,Trinere,north america,female,spotify,31,latin,0,172
Heartless (feat. Mustard),Polo G,north america,male,spotify,35,r&b,0,532
Say My Name,Lil Yachty,north america,male,spotify,36,rap,0,472
Without You - Remastered,Harry Nilsson,north america,male,spotify,39,r&b,0,175
Raise Up,Petey Pablo,north america,male,spotify,40,rap,0,775
Get the Party Started,P!nk,north america,female,spotify,41,pop,0,291
Paloma Negra,Chavela Vargas,north america,female,spotify,42,r&b,1,161
2025-11-07 00:00:00,Beyoncé,north america,female,spotify,44,pop,0,2244
My Nigga,YG,north america,male,spotify,45,pop,0,712
pete davidson,Ariana Grande,north america,female,spotify,46,pop,0,125
Go to Hell,Alice Cooper,north america,male,spotify,49,rock,0,145
Paparazzi,Lady Gaga,north america,female,spotify,50,pop,0,319
Where I Won't Be Found,Seven Lions,north america,male,spotify,52,edm,0,183
Go Getta,Jeezy,north america,male,spotify,53,rap,0,664
California,DJ Quik,north america,male,spotify,56,rap,0,525
How Ya Like Me Now - Longer Version,Kool Moe Dee,north america,male,spotify,58,r&b,0,15
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,north america,male,spotify,59,rap,0,1604
Encanto,Don Omar,north america,male,spotify,61,latin,1,397
I Don't Wanna,Aaliyah,north america,female,spotify,62,r&b,0,506
