song_title,artist,musical_genre,lyric_length,needs_translation,continent,gender,source
Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,r&b,348,0,North America,Male,spotify
Soldier,James TW,r&b,370,0,Europe,Male,spotify
Satisfy You,Diddy,r&b,658,0,North America,Male,spotify
Tender Lover,Babyface,r&b,225,0,North America,Male,spotify
Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,r&b,445,1,Europe,Male,spotify
Una Vaina Loca,Fuego,latin,325,1,North America,Male,spotify
La Mordidita,Ricky Martin,latin,662,1,North America,Male,spotify
Changes,2Pac,rap,749,0,North America,Male,spotify
Latina (feat. Maluma),Reykon,latin,562,1,Latin America,Male,spotify
Suga Suga,Baby Bash,r&b,553,0,North America,Male,spotify
You Don't Know Me - Radio Edit,Jax Jones,pop,576,0,Europe,Male,spotify
Secrets,The Weeknd,r&b,311,0,North America,Male,spotify
Me Enamoré,Jay Wheeler,latin,299,1,North America,Male,spotify
"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,pop,497,0,North America,Female,spotify
La Vida Es Una (feat. Pitbull),Lil Jon,latin,215,1,North America,Male,spotify
We Own It (Fast & Furious),2 Chainz,rap,1653,0,North America,Male,spotify
Ain't No Future In Yo' Frontin',MC Breed,rap,1442,0,North America,Male,spotify
La rebelion,Joe Arroyo,latin,323,1,Latin America,Male,spotify
It's You - Radio Edit,Syn Cole,pop,148,0,Europe,Male,spotify
Bongo Bong,Manu Chao,latin,496,0,Europe,Male,spotify
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,edm,418,0,North America,Female,spotify
Shine - Kygo Remix,Benjamin Francis Leftwich,pop,266,0,Europe,Male,spotify
Dancing On My Own - Tiësto Remix,Calum Scott,edm,288,0,Europe,Male,spotify
Phenomenal,Eminem,rap,890,0,North America,Male,spotify
Suave,Tabitha,latin,339,1,Europe,Female,spotify
Try,P!nk,latin,303,0,North America,Female,spotify
Not To Much - Remastered 2016,Don Omar,latin,370,1,North America,Male,spotify
Love Sosa,Chief Keef,rap,634,0,North America,Male,spotify
Mama Knew Love,Anthony Hamilton,r&b,238,0,North America,Male,spotify
Generé,Bipo Montana,rap,634,1,North America,Male,spotify
Did It Again,Lil Tecca,rap,330,0,North America,Male,spotify
I'll Be All You'll Ever Need,Trinere,latin,172,0,North America,Female,spotify
Always Gonna Say Sorry,Joakim Molitor,edm,262,0,Europe,Male,spotify
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,rap,466,1,Europe,Male,spotify
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,latin,429,0,Latin America,Male,spotify
Heartless (feat. Mustard),Polo G,r&b,535,0,North America,Male,spotify
Say My Name,Lil Yachty,rap,472,0,North America,Male,spotify
It Runs Through Me,Tom Misch,pop,1150,0,Europe,Male,spotify
Nothing Really Matters - Afrojack Remix,Mr. Probz,edm,254,0,Europe,Male,spotify
Without You - Remastered,Harry Nilsson,r&b,175,0,North America,Male,spotify
Raise Up,Petey Pablo,rap,796,0,North America,Male,spotify
Get the Party Started,P!nk,pop,291,0,North America,Female,spotify
Paloma Negra,Chavela Vargas,r&b,141,1,North America,Female,spotify
Tequila,Juanes,latin,502,1,Latin America,Male,spotify
2025-11-07 00:00:00,Beyoncé,pop,2244,0,North America,Female,spotify
My Nigga,YG,pop,712,0,North America,Male,spotify
pete davidson,Ariana Grande,pop,125,0,North America,Female,spotify
This Is How We Party (with Icona Pop),R3HAB,edm,244,0,Europe,Male,spotify
Tokyo,Lianne La Havas,r&b,205,0,Europe,Female,spotify
Go to Hell,Alice Cooper,rock,145,0,North America,Male,spotify
Paparazzi,Lady Gaga,pop,319,0,North America,Female,spotify
Say It,Flume,rap,411,0,Oceania,Male,spotify
Where I Won't Be Found,Seven Lions,edm,183,0,North America,Male,spotify
Go Getta,Jeezy,rap,664,0,North America,Male,spotify
Watch Me Dance,Tom Misch,r&b,273,0,Europe,Male,spotify
Baila Conmigo,Manuel Turizo,latin,317,1,Latin America,Male,spotify
California,DJ Quik,rap,525,0,North America,Male,spotify
Switch,Afrojack,pop,258,0,Europe,Male,spotify
How Ya Like Me Now - Longer Version,Kool Moe Dee,r&b,726,0,North America,Male,spotify
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,rap,1578,0,North America,Male,spotify
CAN YOU HEAR ME NOW?,Bishop Briggs,rock,366,0,Europe,Female,spotify
Encanto,Don Omar,latin,350,1,North America,Male,spotify
I Don't Wanna,Aaliyah,r&b,506,0,North America,Female,spotify
First World Problemz / Nobody Carez,Brent Faiyaz,r&b,552,0,North America,Male,spotify
Marvins Room,Drake,r&b,557,0,North America,Male,spotify
Beautiful Trauma - MOTi Remix,P!nk,edm,403,0,North America,Female,spotify
Dancewitme,Maxwell,r&b,181,0,North America,Male,spotify
Grateful (Neon Feather Remix),Cade Thompson,pop,245,0,North America,Male,spotify
Congratulations - Don Diablo VIP Mix,Don Diablo,edm,264,0,Europe,Male,spotify
Jungli Sher,DIVINE,rap,438,1,North America,Male,spotify
No Rest for the Wicked - Robin Schulz Remix Edit,Lykke Li,pop,185,0,Europe,Female,spotify
April Showers,Proleter,edm,107,0,Europe,Male,spotify
Hot In Herre,Nelly,rap,1512,0,North America,Male,spotify
Rearranged,Killstation,rap,138,0,North America,Male,spotify
No Stylist,French Montana,rap,1104,0,North America,Male,spotify
Ocean Drive - Michael Calfan Remix,Duke Dumont,edm,359,0,Europe,Male,spotify
Da Graveyard,Big L,rap,1103,0,North America,Male,spotify
Bored,Billie Eilish,r&b,281,0,North America,Female,spotify
Certainly - Flipped It,Erykah Badu,r&b,316,0,North America,Female,spotify
Don't You Want Me,Jody Watley,r&b,349,0,North America,Female,spotify
I'm a Mess,Bebe Rexha,pop,1011,0,North America,Female,spotify
Ready Set (feat. Big Sean),Kash Doll,rap,420,0,North America,Female,spotify
I See Your Smile,Gloria Estefan,latin,253,0,North America,Female,spotify
Goodness Gracious - The Chainsmokers Extended Remix,Ellie Goulding,edm,352,0,Europe,Female,spotify
Feel Me (feat. Kanye West),Tyga,rap,510,0,North America,Male,spotify
Andar Conmigo,Julieta Venegas,latin,198,1,North America,Female,spotify
"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,rap,517,0,North America,Male,spotify
