song_title,artist,musical_genre,ethnicity,musical_subgenre,gender
Pangarap,Barbie's Cradle,rock,asian,classic rock,Group
Poison,Bell Biv DeVoe,r&b,north-american,new jack swing,Group
Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,r&b,north-american,neo soul,male
Dumb Litty,KARD,pop,asian,dance pop,Group
Soldier,James TW,r&b,european,urban contemporary,male
Satisfy You,Diddy,r&b,north-american,new jack swing,male
Tender Lover,Babyface,r&b,north-american,new jack swing,male
Hide Away (feat. Envy Monroe),Blasterjaxx,edm,european,big room,Group
Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,r&b,european,hip pop,male
Una Vaina Loca,Fuego,latin,north-american,latin pop,male
Limestone,Magic City Hippies,pop,north-american,indie poptimism,Group
La Mordidita,Ricky Martin,latin,north-american,latin pop,male
Changes,2Pac,rap,north-american,gangster rap,male
Latina (feat. Maluma),Reykon,latin,latino,latin pop,male
Let Me Entertain You - Remastered 2011,Queen,rock,european,album rock,Group
Suga Suga,Baby Bash,r&b,north-american,hip pop,male
You Don't Know Me - Radio Edit,Jax Jones,pop,european,post-teen pop,male
Secrets,The Weeknd,r&b,north-american,urban contemporary,male
Me Enamoré,Jay Wheeler,latin,north-american,latin pop,male
"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,pop,north-american,post-teen pop,female
Get The Funk Out Ma Face,The Brothers Johnson,r&b,north-american,urban contemporary,Group
Ooh,SAYMYNAME,rap,north-american,trap,Person
La Vida Es Una (feat. Pitbull),Lil Jon,latin,north-american,latin hip hop,male
Juke Box Hero,Foreigner,pop,north-american,post-teen pop,Group
We Own It (Fast & Furious),2 Chainz,rap,north-american,gangster rap,male
Ain't No Future In Yo' Frontin',MC Breed,rap,north-american,southern hip hop,male
La rebelion,Joe Arroyo,latin,latino,tropical,male
It's You - Radio Edit,Syn Cole,pop,european,electropop,male
Bongo Bong,Manu Chao,latin,european,tropical,male
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,edm,north-american,progressive electro house,female
Full Moon,DREAMCATCHER,edm,asian,pop edm,Group
Bené,PNL,r&b,european,urban contemporary,Group
Shine - Kygo Remix,Benjamin Francis Leftwich,pop,european,indie poptimism,male
Been A While,Sam Feldt,pop,european,indie poptimism,male
Dancing On My Own - Tiësto Remix,Calum Scott,edm,european,pop edm,male
Phenomenal,Eminem,rap,north-american,gangster rap,male
Beautiful Life,Lost Frequencies,latin,european,tropical,male
Suave,Tabitha,latin,european,latin hip hop,female
Pegao,Wisin & Yandel,latin,north-american,reggaeton,Group
Try,P!nk,latin,north-american,latin hip hop,female
Not To Much - Remastered 2016,Don Omar,latin,north-american,reggaeton,male
First Love,Lost Kings,pop,north-american,dance pop,Group
Now That We're Dead,Metallica,rock,north-american,hard rock,Group
Love Sosa,Chief Keef,rap,north-american,gangster rap,male
Mama Knew Love,Anthony Hamilton,r&b,north-american,neo soul,male
Generé,Bipo Montana,rap,north-american,hip hop,male
Girlfriend in a Coma - 2011 Remaster,The Smiths,rock,european,permanent wave,Group
Did It Again,Lil Tecca,rap,north-american,trap,male
I'll Be All You'll Ever Need,Trinere,latin,north-american,latin hip hop,female
Talk Dirty To Me,Poison,rock,north-american,classic rock,Group
Goodbye Love,Guy,r&b,north-american,new jack swing,Group
Morph,Twenty One Pilots,pop,north-american,electropop,Group
50 Vezes - Ao Vivo,Sorriso Maroto,edm,latino,pop edm,Group
Harlem Shake,Baauer,rap,north-american,trap,male
Always Gonna Say Sorry,Joakim Molitor,edm,european,pop edm,male
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,rap,european,trap,male
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,latin,latino,latin hip hop,male
Why Don't You Get A Job,The Offspring,rock,north-american,permanent wave,Group
Heartless (feat. Mustard),Polo G,r&b,north-american,urban contemporary,male
Say My Name,Lil Yachty,rap,north-american,hip hop,male
Paint My Love - 2014 Remastered Version,Michael Learns To Rock,rock,european,album rock,Group
Hi Life,UGK,rap,north-american,southern hip hop,Group
It Runs Through Me,Tom Misch,pop,european,indie poptimism,male
Nothing Really Matters - Afrojack Remix,Mr. Probz,edm,european,pop edm,male
Who Are You,The Who,rock,european,classic rock,Group
I Want You To Want Me,Cheap Trick,rock,north-american,classic rock,Group
I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival,rock,north-american,hard rock,Group
Without You - Remastered,Harry Nilsson,r&b,north-american,urban contemporary,male
Raise Up,Petey Pablo,rap,north-american,southern hip hop,male
Get the Party Started,P!nk,pop,north-american,post-teen pop,female
Stray Lines,Mishaal,edm,arabic,pop edm,male
Paloma Negra,Chavela Vargas,r&b,north-american,urban contemporary,female
On Fire,Carmada,pop,oceania,indie poptimism,Group
Tequila,Juanes,latin,latino,latin pop,male
Who Needs You - Remastered 2011,Queen,rock,european,album rock,Group
2025-11-07 00:00:00,Beyoncé,pop,north-american,electropop,female
Getting Away With Murder,Papa Roach,rock,north-american,hard rock,Group
Smile - Years Remix,Galantis,edm,european,progressive electro house,Group
My Nigga,YG,pop,north-american,post-teen pop,male
Unity,Dimitri Vegas & Like Mike,edm,european,electro house,Group
pete davidson,Ariana Grande,pop,north-american,post-teen pop,female
This Is How We Party (with Icona Pop),R3HAB,edm,european,progressive electro house,male
Tokyo,Lianne La Havas,r&b,european,neo soul,female
Go to Hell,Alice Cooper,rock,north-american,hard rock,male
Paparazzi,Lady Gaga,pop,north-american,post-teen pop,female
Jet Airliner - Remastered 2017,Steve Miller Band,rock,north-american,classic rock,Group
Say It,Flume,rap,oceania,trap,male
Faith - Radio Edit,Blasterjaxx,edm,european,progressive electro house,Group
Save My Night - BlasterJaxx Remix,Armin van Buuren,edm,european,electro house,male
Where I Won't Be Found,Seven Lions,edm,north-american,pop edm,male
Go Getta,Jeezy,rap,north-american,southern hip hop,male
Slow Motion,Color Me Badd,r&b,north-american,new jack swing,Group
In Between,Beartooth,rock,north-american,hard rock,Group
Watch Me Dance,Tom Misch,r&b,european,neo soul,male
Baila Conmigo,Manuel Turizo,latin,latino,reggaeton,male
California,DJ Quik,rap,north-american,southern hip hop,male
Switch,Afrojack,pop,european,dance pop,male
How Ya Like Me Now - Longer Version,Kool Moe Dee,r&b,north-american,new jack swing,male
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,rap,north-american,hip hop,male
CAN YOU HEAR ME NOW?,Bishop Briggs,rock,european,permanent wave,female
Encanto,Don Omar,latin,north-american,reggaeton,male
Cemetry Gates - 2011 Remaster,The Smiths,rock,european,permanent wave,Group
I Don't Wanna,Aaliyah,r&b,north-american,new jack swing,female
Die To Live,Volbeat,rock,european,permanent wave,Group
The Air Near My Fingers,The White Stripes,rock,north-american,classic rock,Group
Only for the Weak,In Flames,rock,european,hard rock,Group
First World Problemz / Nobody Carez,Brent Faiyaz,r&b,north-american,neo soul,male
I Can't Wait,Nu Shooz,rock,north-american,album rock,Group
Fake Plastic Trees,Radiohead,rock,european,permanent wave,Group
Marvins Room,Drake,r&b,north-american,urban contemporary,male
Beautiful Trauma - MOTi Remix,P!nk,edm,north-american,pop edm,female
Centuries,Fall Out Boy,pop,north-american,post-teen pop,Group
Dancewitme,Maxwell,r&b,north-american,neo soul,male
Grateful (Neon Feather Remix),Cade Thompson,pop,north-american,dance pop,male
Congratulations - Don Diablo VIP Mix,Don Diablo,edm,european,electro house,male
"Wow, I'm Not Crazy",AJR,pop,north-american,indie poptimism,Group
Where Angels Fear To Tread - Single Version,Mustasch,rock,european,hard rock,Group
Northern Sky (feat. Kb),Capital Kings,edm,north-american,progressive electro house,Group
Jungli Sher,DIVINE,rap,north-american,hip hop,male
No Rest for the Wicked - Robin Schulz Remix Edit,Lykke Li,pop,european,indie poptimism,female
April Showers,Proleter,edm,european,electro house,male
Hot In Herre,Nelly,rap,north-american,southern hip hop,male
Rearranged,Killstation,rap,north-american,gangster rap,male
No Stylist,French Montana,rap,north-american,hip hop,male
Ocean Drive - Michael Calfan Remix,Duke Dumont,edm,european,pop edm,male
Da Graveyard,Big L,rap,north-american,gangster rap,male
Bored,Billie Eilish,r&b,north-american,urban contemporary,female
This World Is Sick,IC3PEAK,rap,european,gangster rap,Group
Nevermore - Remastered 2011,Queen,rock,european,album rock,Group
Certainly - Flipped It,Erykah Badu,r&b,north-american,new jack swing,female
Don't You Want Me,Jody Watley,r&b,north-american,new jack swing,female
I'm a Mess,Bebe Rexha,pop,north-american,post-teen pop,female
Ready Set (feat. Big Sean),Kash Doll,rap,north-american,hip hop,female
I See Your Smile,Gloria Estefan,latin,north-american,latin pop,female
Motownphilly,Boyz II Men,r&b,north-american,new jack swing,Group
Te Vi,Piso 21,latin,latino,latin pop,Group
Goodness Gracious - The Chainsmokers Extended Remix,Ellie Goulding,edm,european,progressive electro house,female
Call You Mine,The Chainsmokers,pop,north-american,dance pop,Group
Untouchable,Tritonal,edm,north-american,pop edm,Group
Déjame Volar,Aleman,rap,european,gangster rap,Person
Feel Me (feat. Kanye West),Tyga,rap,north-american,gangster rap,male
Andar Conmigo,Julieta Venegas,latin,north-american,latin pop,female
"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,rap,north-american,hip hop,male
