song_title,artist,language,musical_genre,ethnicity,musical_subgenre,gender,lyric_length,needs_translation
Pangarap,Barbie's Cradle,tl,rock,asian,classic rock,Group,140,1
Poison,Bell Biv DeVoe,en,r&b,north-american,new jack swing,Group,427,0
Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,en,r&b,north-american,neo soul,male,348,0
Dumb Litty,KARD,en,pop,asian,dance pop,Group,354,1
Soldier,James TW,en,r&b,european,urban contemporary,male,370,0
Satisfy You,Diddy,en,r&b,north-american,new jack swing,male,658,0
Tender Lover,Babyface,en,r&b,north-american,new jack swing,male,225,0
Hide Away (feat. Envy Monroe),Blasterjaxx,en,edm,european,big room,Group,422,0
Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,it,r&b,european,hip pop,male,445,1
Una Vaina Loca,Fuego,es,latin,north-american,latin pop,male,325,1
Limestone,Magic City Hippies,en,pop,north-american,indie poptimism,Group,206,0
La Mordidita,Ricky Martin,es,latin,north-american,latin pop,male,662,1
Changes,2Pac,en,rap,north-american,gangster rap,male,749,0
Latina (feat. Maluma),Reykon,es,latin,latino,latin pop,male,562,1
Let Me Entertain You - Remastered 2011,Queen,en,rock,european,album rock,Group,354,0
Suga Suga,Baby Bash,en,r&b,north-american,hip pop,male,553,0
You Don't Know Me - Radio Edit,Jax Jones,en,pop,european,post-teen pop,male,576,0
Secrets,The Weeknd,en,r&b,north-american,urban contemporary,male,311,0
Me Enamoré,Jay Wheeler,es,latin,north-american,latin pop,male,299,1
"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,en,pop,north-american,post-teen pop,female,497,0
Get The Funk Out Ma Face,The Brothers Johnson,en,r&b,north-american,urban contemporary,Group,290,0
Ooh,SAYMYNAME,en,rap,north-american,trap,Person,102,0
La Vida Es Una (feat. Pitbull),Lil Jon,es,latin,north-american,latin hip hop,male,215,1
Juke Box Hero,Foreigner,en,pop,north-american,post-teen pop,Group,670,0
We Own It (Fast & Furious),2 Chainz,en,rap,north-american,gangster rap,male,1653,0
Ain't No Future In Yo' Frontin',MC Breed,en,rap,north-american,southern hip hop,male,1442,0
La rebelion,Joe Arroyo,es,latin,latino,tropical,male,323,1
It's You - Radio Edit,Syn Cole,en,pop,european,electropop,male,148,0
Bongo Bong,Manu Chao,en,latin,european,tropical,male,496,0
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,en,edm,north-american,progressive electro house,female,418,0
Full Moon,DREAMCATCHER,et,edm,asian,pop edm,Group,497,1
Bené,PNL,fr,r&b,european,urban contemporary,Group,424,1
Shine - Kygo Remix,Benjamin Francis Leftwich,en,pop,european,indie poptimism,male,266,0
Dancing On My Own - Tiësto Remix,Calum Scott,en,edm,european,pop edm,male,288,0
Phenomenal,Eminem,en,rap,north-american,gangster rap,male,890,0
Suave,Tabitha,nl,latin,european,latin hip hop,female,339,1
Pegao,Wisin & Yandel,es,latin,north-american,reggaeton,Group,481,1
Try,P!nk,en,latin,north-american,latin hip hop,female,303,0
Not To Much - Remastered 2016,Don Omar,es,latin,north-american,reggaeton,male,370,1
First Love,Lost Kings,en,pop,north-american,dance pop,Group,812,0
Now That We're Dead,Metallica,en,rock,north-american,hard rock,Group,225,0
Love Sosa,Chief Keef,en,rap,north-american,gangster rap,male,634,0
Mama Knew Love,Anthony Hamilton,en,r&b,north-american,neo soul,male,238,0
Generé,Bipo Montana,es,rap,north-american,hip hop,male,634,1
